document,term,count
1,the,1
1,wizard,1
1,wonderful,1
6,baum,1
6,frank,1
10,contents,1
12,introduction,1
13,cyclone,1
13,the,1
14,council,1
14,munchkins,1
14,the,1
15,dorothy,1
15,how,1
15,saved,1
15,scarecrow,1
16,forest,1
16,road,1
16,the,1
16,through,1
17,rescue,1
17,the,1
17,tin,1
17,woodman,1
18,cowardly,1
18,lion,1
18,the,1
19,great,1
19,journey,1
19,the,1
20,deadly,1
20,field,1
20,poppy,1
20,the,1
21,field,1
21,mice,1
21,queen,1
21,the,1
22,gates,1
22,guardian,1
22,the,1
23,city,1
23,emerald,1
23,the,1
24,search,1
24,the,1
24,wicked,1
24,witch,1
25,rescue,1
25,the,1
26,monkeys,1
26,the,1
26,winged,1
27,discovery,1
27,terrible,1
27,the,1
28,art,1
28,great,1
28,humbug,1
28,magic,1
28,the,1
29,balloon,1
29,how,1
29,launched,1
29,was,1
30,away,1
30,south,1
31,attacked,1
31,fighting,1
31,trees,1
32,china,1
32,country,1
32,dainty,1
32,the,1
33,beasts,1
33,becomes,1
33,king,1
33,lion,1
33,the,1
34,country,1
34,quadlings,1
34,the,1
35,dorothys,1
35,glinda,1
35,good,1
35,grants,1
35,the,1
35,wish,1
35,witch,1
36,again,1
36,home,1
41,introduction,1
44,childhood,1
44,fairy,1
44,folklore,1
44,followed,1
44,legends,1
44,myths,1
44,tales,1
45,ages,1
45,every,1
45,healthy,1
45,wholesome,1
45,youngster,1
46,fantastic,1
46,instinctive,1
46,love,1
46,manifestly,1
46,marvelous,1
46,stories,1
47,andersen,1
47,brought,1
47,fairies,1
47,grimm,1
47,the,1
47,unreal,1
47,winged,1
48,childish,1
48,creations,1
48,happiness,1
48,hearts,1
48,human,1
50,fairy,1
50,generations,1
50,may,1
50,now,1
50,old,1
50,served,1
50,tale,1
50,time,1
50,yet,1
51,childrens,1
51,classed,1
51,historical,1
51,library,1
51,time,1
52,come,1
52,newer,1
52,series,1
52,stereotyped,1
52,tales,1
52,wonder,1
53,dwarf,1
53,eliminated,1
53,fairy,1
53,genie,1
53,horrible,1
53,together,1
54,authors,1
54,bloodcurdling,1
54,devised,1
54,incidents,1
54,point,1
55,education,1
55,fearsome,1
55,includes,1
55,modern,1
55,moral,1
55,morality,1
55,tale,1
56,child,1
56,entertainment,1
56,modern,1
56,seeks,1
56,tales,1
56,therefore,1
56,wonder,1
57,disagreeable,1
57,dispenses,1
57,gladly,1
57,incident,1
59,having,1
59,mind,1
59,story,1
59,the,1
59,thought,1
59,wizard,1
59,wonderful,1
60,aspires,1
60,children,1
60,please,1
60,solely,1
60,today,1
60,written,1
61,fairy,1
61,joy,1
61,modernized,1
61,retained,1
61,tale,1
61,wonderment,1
62,heartaches,1
62,left,1
62,nightmares,1
65,baum,1
65,frank,1
67,april,1
67,chicago,1
72,the,1
72,wizard,1
72,wonderful,1
77,cyclone,1
77,the,1
80,dorothy,1
80,great,1
80,kansas,1
80,lived,1
80,midst,1
80,prairies,1
80,uncle,1
81,aunt,1
81,farmer,1
81,farmers,1
81,henry,1
81,their,1
81,wife,1
82,build,1
82,carried,1
82,house,1
82,lumber,1
82,small,1
82,wagon,1
83,floor,1
83,four,1
83,made,1
83,many,1
83,miles,1
83,one,1
83,roof,1
83,there,1
83,walls,1
84,contained,1
84,cookstove,1
84,cupboard,1
84,looking,1
84,room,2
84,rusty,1
85,beds,1
85,chairs,1
85,dishes,1
85,four,1
85,henry,1
85,table,1
85,three,1
85,uncle,1
86,aunt,1
86,bed,2
86,big,1
86,corner,1
86,dorothy,1
86,little,1
86,one,1
87,another,1
87,cellarexcept,1
87,corner,1
87,garret,1
87,there,1
88,called,1
88,cellar,1
88,cyclone,1
88,dug,1
88,family,1
88,ground,1
88,hole,1
88,small,1
89,arose,1
89,case,1
89,enough,1
89,great,1
89,mighty,1
89,one,1
89,whirlwinds,1
90,building,1
90,crush,1
90,door,1
90,path,1
90,reached,1
90,trap,1
91,dark,1
91,floor,1
91,ladder,1
91,led,1
91,middle,1
91,small,1
92,hole,1
94,around,1
94,doorway,1
94,dorothy,1
94,looked,1
94,see,1
94,stood,1
94,when,1
95,every,1
95,gray,1
95,great,1
95,not,1
95,nothing,1
95,prairie,1
95,side,1
95,tree,1
96,broad,1
96,broke,1
96,country,1
96,edge,1
96,flat,1
96,house,1
96,reached,1
96,sweep,1
97,baked,1
97,directions,1
97,land,1
97,plowed,1
97,sky,1
97,sun,1
97,the,1
98,cracks,1
98,even,1
98,grass,1
98,gray,1
98,little,1
98,mass,1
98,running,1
99,blades,1
99,burned,1
99,green,1
99,long,1
99,sun,1
99,tops,1
100,color,1
100,everywhere,1
100,gray,1
100,house,1
100,once,1
100,seen,1
101,blistered,1
101,paint,1
101,painted,1
101,rains,1
101,sun,1
101,washed,1
102,away,1
102,dull,1
102,else,1
102,everything,1
102,gray,1
102,house,1
102,now,1
104,aunt,1
104,came,1
104,live,1
104,pretty,1
104,sun,1
104,the,1
104,when,1
104,wife,1
104,young,1
105,changed,1
105,sparkle,1
105,taken,1
105,they,1
105,wind,1
106,cheeks,1
106,eyes,1
106,gray,1
106,left,1
106,red,1
106,sober,1
106,taken,1
107,also,1
107,gaunt,1
107,gray,1
107,lips,1
107,never,1
107,she,1
107,thin,1
108,aunt,1
108,came,1
108,dorothy,1
108,first,1
108,now,1
108,orphan,1
108,smiled,1
108,when,1
109,childs,1
109,laughter,1
109,scream,1
109,startled,1
110,dorothys,1
110,hand,1
110,heart,1
